Benchmark,Mode,Threads,Samples,Score,Score Error (99.9%),Unit,Param: bufferSize,Param: inputFile,Param: nbRows,Param: quoted,Param: wrapWithBufferedReader
SimpleFlatMapperParser,avgt,1,50,75174.15218,132.1759524,us/op,,./worldcitiespop.txt,100000,FALSE,FALSE
SimpleFlatMapperParser,avgt,1,50,977777.0539,13918.75907,us/op,,./worldcitiespop.txt,1000000,TRUE,FALSE
SimpleFlatMapperParser,avgt,1,50,736202.5972,1516.488294,us/op,,./worldcitiespop.txt,1000000,FALSE,FALSE
SimpleFlatMapperParser,avgt,1,50,2647928.015,20736.04075,us/op,,./worldcitiespop.txt,3173959,TRUE,FALSE
SimpleFlatMapperParser,avgt,1,50,2342475.245,6357.939782,us/op,,./worldcitiespop.txt,3173959,FALSE,FALSE
SuperCsvParser,avgt,1,50,23.16333881,0.110033171,us/op,,./worldcitiespop.txt,1,TRUE,FALSE
SuperCsvParser,avgt,1,50,22.45896794,0.15626581,us/op,,./worldcitiespop.txt,1,FALSE,FALSE
SuperCsvParser,avgt,1,50,42.58266853,0.13145871,us/op,,./worldcitiespop.txt,10,TRUE,FALSE
SuperCsvParser,avgt,1,50,35.17982354,0.124045156,us/op,,./worldcitiespop.txt,10,FALSE,FALSE
SuperCsvParser,avgt,1,50,233.8355748,0.88075639,us/op,,./worldcitiespop.txt,100,TRUE,FALSE
SuperCsvParser,avgt,1,50,169.4753831,1.187252096,us/op,,./worldcitiespop.txt,100,FALSE,FALSE
SuperCsvParser,avgt,1,50,1996.421094,53.01143107,us/op,,./worldcitiespop.txt,1000,TRUE,FALSE
SuperCsvParser,avgt,1,50,1430.022915,16.01863775,us/op,,./worldcitiespop.txt,1000,FALSE,FALSE
SuperCsvParser,avgt,1,50,19450.24225,448.7773307,us/op,,./worldcitiespop.txt,10000,TRUE,FALSE
SuperCsvParser,avgt,1,50,13860.77461,144.6575382,us/op,,./worldcitiespop.txt,10000,FALSE,FALSE
SuperCsvParser,avgt,1,50,200009.7937,870.3003379,us/op,,./worldcitiespop.txt,100000,TRUE,FALSE
SuperCsvParser,avgt,1,50,165970.7947,498.6685665,us/op,,./worldcitiespop.txt,100000,FALSE,FALSE
